smile_A_ion,smile_B_ion,mol_fraction_A,mol_fraction_B,beta,kind_surfactant 1,kind_surfactant 2
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)(F)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.699300699,0.300699301,-5.944418257,NONIONIC,CATIONIC
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)(F)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.600699301,0.399300699,-6.628302667,NONIONIC,CATIONIC
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)(F)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.498951049,0.501048951,-6.922699017,NONIONIC,CATIONIC
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)(F)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.399300699,0.600699301,-7.047533497,NONIONIC,CATIONIC
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)(F)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.298601399,0.701398601,-6.292270066,NONIONIC,CATIONIC
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)(F)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.198951049,0.801048951,-3.52934272,NONIONIC,CATIONIC
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)(F)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.098251748,0.901748252,-2.354248631,NONIONIC,CATIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.05,0.95,-4.964673206,ANIONIC,NONIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.1,0.9,-4.150567412,ANIONIC,NONIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.3,0.7,-3.408230079,ANIONIC,NONIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.5,0.5,-3.809517369,ANIONIC,NONIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.7,0.3,-7.06713294,ANIONIC,NONIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.9,0.1,-7.05,ANIONIC,NONIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.95,0.05,-4.146394163,ANIONIC,NONIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.05,0.95,-6.1534588,ANIONIC,NONIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.1,0.9,-5.412035659,ANIONIC,NONIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.3,0.7,-5.464127961,ANIONIC,NONIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.5,0.5,-5.672961424,ANIONIC,NONIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.7,0.3,-5.871710244,ANIONIC,NONIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.9,0.1,-5.226909988,ANIONIC,NONIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.95,0.05,-6.18812377,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.05,0.95,-5.769692085,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.1,0.9,-6.162611534,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.3,0.7,-6.242563058,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.5,0.5,-6.281792826,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.7,0.3,-6.505671266,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.9,0.1,-7.557954302,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.95,0.05,-6.700312579,ANIONIC,NONIONIC
CCCCCCCCCCS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.05,0.95,-3.82000691,ANIONIC,NONIONIC
CCCCCCCCCCS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.1,0.9,-3.826467626,ANIONIC,NONIONIC
CCCCCCCCCCS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.3,0.7,-2.8176912,ANIONIC,NONIONIC
CCCCCCCCCCS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.5,0.5,-4.350879624,ANIONIC,NONIONIC
CCCCCCCCCCS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.7,0.3,-3.18023296,ANIONIC,NONIONIC
CCCCCCCCCCS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.9,0.1,-3.8881434,ANIONIC,NONIONIC
CCCCCCCCCCS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.95,0.05,-4.842045389,ANIONIC,NONIONIC
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.05,0.95,-5.943172661,ANIONIC,NONIONIC
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.1,0.9,-5.186337653,ANIONIC,NONIONIC
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.3,0.7,-4.189078395,ANIONIC,NONIONIC
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.5,0.5,-4.341601618,ANIONIC,NONIONIC
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.7,0.3,-4.251901604,ANIONIC,NONIONIC
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.9,0.1,-5.716930641,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)S(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.05,0.95,-4.512393658,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)S(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.1,0.9,-4.175208333,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)S(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.3,0.7,-3.402170698,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)S(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.5,0.5,-4.570473604,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)S(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.7,0.3,-5.201140706,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)S(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.9,0.1,-5.482533911,ANIONIC,NONIONIC
CCCCC(CC)CCC(CC(C)C)S(=O)(=O)[O-].[Na+],CC(C)CC(C)(C#CC(C)(CC(C)C)OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,0.95,0.05,-4.160695406,ANIONIC,NONIONIC
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O.[Na+],CCCCCCCCN1C=C[N+](=C1)C.[Cl-],0.25,0.75,-17.58918708,NONIONIC,CATIONIC
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O.[Na+],CCCCCCCCN1C=C[N+](=C1)C.[Cl-],0.5,0.5,-17.48816945,NONIONIC,CATIONIC
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O.[Na+],CCCCCCCCN1C=C[N+](=C1)C.[Cl-],0.75,0.25,-18.02740713,NONIONIC,CATIONIC
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O.[Na+],CCCCCCCCCCN1C=C[N+](=C1)C.[Cl-],0.25,0.75,-21.84439421,NONIONIC,CATIONIC
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O.[Na+],CCCCCCCCCCN1C=C[N+](=C1)C.[Cl-],0.5,0.5,-22.11700702,NONIONIC,CATIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.1,0.9,-6.846375546,NONIONIC,ANIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.3,0.7,-8.642080928,NONIONIC,ANIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.7,0.3,-2.954737439,NONIONIC,ANIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.9,0.1,-5.929403631,NONIONIC,ANIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,0.9,-0.309276993,NONIONIC,CATIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,0.7,-4.368755122,NONIONIC,CATIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,0.5,-5.065304757,NONIONIC,CATIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.7,0.3,-5.096547857,NONIONIC,CATIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,0.1,-4.46562085,NONIONIC,CATIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.1,0.9,-2.501582703,NONIONIC,NONIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.3,0.7,0.20241187,NONIONIC,NONIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.5,0.5,-0.746298673,NONIONIC,NONIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.7,0.3,-1.657848802,NONIONIC,NONIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.9,0.1,-1.671149052,NONIONIC,NONIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.1,0.9,-1.3067524,NONIONIC,ZWITTERIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.3,0.7,-2.240017797,NONIONIC,ZWITTERIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.5,0.5,-1.836619567,NONIONIC,ZWITTERIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.7,0.3,-0.936777899,NONIONIC,ZWITTERIONIC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.9,0.1,-0.523644012,NONIONIC,ZWITTERIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.1,0.9,-4.573498232,NONIONIC,ANIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.3,0.7,-5.369700936,NONIONIC,ANIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.5,0.5,-5.732281636,NONIONIC,ANIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.7,0.3,-5.805720976,NONIONIC,ANIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.9,0.1,-6.247221044,NONIONIC,ANIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,0.9,-0.652749913,NONIONIC,CATIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,0.7,-2.210126709,NONIONIC,CATIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,0.5,-1.346989413,NONIONIC,CATIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.7,0.3,-2.063461222,NONIONIC,CATIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,0.1,-2.690604658,NONIONIC,CATIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.1,0.9,-2.696801081,NONIONIC,NONIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.3,0.7,-1.46137305,NONIONIC,NONIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.5,0.5,-3.611592595,NONIONIC,NONIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.7,0.3,-1.446677781,NONIONIC,NONIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.9,0.1,-2.123510206,NONIONIC,NONIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.1,0.9,-1.380273447,NONIONIC,ZWITTERIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.3,0.7,-0.340290713,NONIONIC,ZWITTERIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.5,0.5,0.449537652,NONIONIC,ZWITTERIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.7,0.3,-1.548910769,NONIONIC,ZWITTERIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.9,0.1,-1.903280191,NONIONIC,ZWITTERIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.1,0.9,-5.763646913,NONIONIC,ANIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.3,0.7,-6.342585178,NONIONIC,ANIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.5,0.5,-8.027768226,NONIONIC,ANIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.7,0.3,-5.949209393,NONIONIC,ANIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.9,0.1,-4.046078085,NONIONIC,ANIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,0.9,-1.204822763,NONIONIC,CATIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,0.7,-3.771511671,NONIONIC,CATIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,0.5,-3.70663087,NONIONIC,CATIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.7,0.3,-3.853476023,NONIONIC,CATIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,0.1,-3.935570975,NONIONIC,CATIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.1,0.9,-2.062771136,NONIONIC,NONIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.3,0.7,-1.630813722,NONIONIC,NONIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.5,0.5,-0.905693879,NONIONIC,NONIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.7,0.3,-0.687528458,NONIONIC,NONIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,0.9,0.1,-3.323041336,NONIONIC,NONIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.1,0.9,-2.080273083,NONIONIC,ZWITTERIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.3,0.7,0.210916995,NONIONIC,ZWITTERIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.5,0.5,-0.123011259,NONIONIC,ZWITTERIONIC
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,0.9,0.1,-2.391528682,NONIONIC,ZWITTERIONIC
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.1,0.9,-10.41622129,NONIONIC,ANIONIC
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.3,0.7,-6.184502837,NONIONIC,ANIONIC
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.5,0.5,-5.737275955,NONIONIC,ANIONIC
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.7,0.3,-5.336452449,NONIONIC,ANIONIC
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],0.9,0.1,-6.333024342,NONIONIC,ANIONIC
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,0.9,-3.189848815,NONIONIC,CATIONIC
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,0.7,-4.237079565,NONIONIC,CATIONIC
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,0.5,-3.651511209,NONIONIC,CATIONIC
