smile_A_ion,smile_B_ion,mol_fraction_A,mol_fraction_B,beta,kind_surfactant 1,kind_surfactant 2
CCCCCC(=O)[O-].[K+],CCCCCCCCCCC(=O)[O-].[K+],0.738768331,0.261231669,-3.222750317,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCCC(=O)[O-].[K+],0.506772757,0.493227243,-2.261836973,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCCC(=O)[O-].[K+],0.273404258,0.726595742,-0.967048835,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCCC(=O)[O-].[K+],0.004465622,0.995534378,-3.227005343,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCCCCCC(=O)[O-].[K+],0.9910254,0.0089746,-6.22305718,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCCCCCC(=O)[O-].[K+],0.95040331,0.04959669,-9.396172554,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCCCCCC(=O)[O-].[K+],0.689966492,0.310033508,-9.031238024,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCCCCCC(=O)[O-].[K+],0.453827366,0.546172634,-7.869040004,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCCCCCC(=O)[O-].[K+],0.234774458,0.765225542,-6.098302669,ANIONIC,ANIONIC
CCCCCC(=O)[O-].[K+],CCCCCCCCCCCCCC(=O)[O-].[K+],0.002919274,0.997080726,-4.081296504,ANIONIC,ANIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,0.17,0.83,-2.494879054,ANIONIC,NONIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,0.33,0.67,-2.357311633,ANIONIC,NONIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,0.5,0.5,-2.228471607,ANIONIC,NONIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,0.67,0.33,-1.753420379,ANIONIC,NONIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,0.83,0.17,-1.467533462,ANIONIC,NONIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],0.5,0.5,-1.240864775,ANIONIC,ANIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],0.58,0.42,-4.648687231,ANIONIC,ANIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],0.67,0.33,-3.921270768,ANIONIC,ANIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],0.83,0.17,-2.874671765,ANIONIC,ANIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.17,0.83,-5.915527262,ANIONIC,NONIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.33,0.67,-6.017824599,ANIONIC,NONIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.5,0.5,-6.09407659,ANIONIC,NONIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.58,0.42,-5.110173368,ANIONIC,NONIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.67,0.33,-2.832878209,ANIONIC,NONIONIC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.83,0.17,0.095850034,ANIONIC,NONIONIC
CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.2,0.8,-0.700328056,NONIONIC,ANIONIC
CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.4,0.6,-0.986937999,NONIONIC,ANIONIC
CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.6,0.4,-1.742328097,NONIONIC,ANIONIC
CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.8,0.2,-1.984097165,NONIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.2,0.8,-1.027685984,CATIONIC,NONIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.3,0.7,-1.005106635,CATIONIC,NONIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.5,0.5,-0.224198669,CATIONIC,NONIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.7,0.3,0.150638088,CATIONIC,NONIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.8,0.2,0.308771434,CATIONIC,NONIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.1,0.9,0.31008052,CATIONIC,CATIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.2,0.8,-0.09172907,CATIONIC,CATIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.3,0.7,-0.185280602,CATIONIC,CATIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.7,0.3,2.454986975,CATIONIC,CATIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0.05,0.95,-11.45073799,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0.1,0.9,-13.00313498,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0.15,0.85,-13.73877485,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0.9,0.1,-10.93232289,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0.95,0.05,-10.46155979,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],0.97,0.03,-10.49874837,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.05,0.95,-17.50896874,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.15,0.85,-17.48204686,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.4,0.6,-16.92545186,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.6,0.4,-16.76366952,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.8,0.2,-16.5163661,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.95,0.05,-16.88294677,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.1,0.9,-8.379197316,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.2,0.8,-9.23313612,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.6,0.4,-9.856616348,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.8,0.2,-10.24971745,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.9,0.1,-11.04173164,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.1,0.9,-5.075727168,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.3,0.7,-5.841424317,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.6,0.4,-6.471614828,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.8,0.2,-7.439423866,CATIONIC,ANIONIC
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.9,0.1,-7.539783758,CATIONIC,ANIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C,0.2,0.8,-11.03235103,ANIONIC,NONIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C,0.4,0.6,-8.614908024,ANIONIC,NONIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C,0.6,0.4,-11.77259321,ANIONIC,NONIONIC
